,Name of company,Work Mode,Min CGPA,Seats for Boys,Seats for Girls,Number of Dead Backlogs permitted,Number of Active Backlogs permitted,Preffered month of visiting campus,Domain to Hire,Data Collection and Storage,Data Cleaning and Preprocessing,Data Visualization,Statistical Analysis,Business Intelligence (BI),Data Warehousing
22,ARMSTRONG AUTOMATION,Work from Home,9.4,7,9,1,1,October,📈Data Science and Analytics,"Cassandra,Spark Streaming,Spark SQL",,,,Oracle BI,Amazon Redshift
23,TATA TECHNOLOGIES,Work from Home,7.7,0,4,0,0,July,📈Data Science and Analytics,,"Dplyr,OpenRefine,Tidyverse,NumPy,Pandas,Scikit-learn,Data.table",,"Base R,Tidyverse,SAS,SPSS,Data.table",IBM Cognos,"Microsoft SQL Server,Amazon Redshift"
24,FORBES MARSHALL,Work from office,8.3,2,8,1,0,September,📈Data Science and Analytics,"MapReduce,Redis,GraphX,HDFS,MongoDB","NumPy,Scikit-learn,Tidyverse","ggplot2 in R,Tableau","Data.table,SPSS,SAS,Tidyverse,Base R","SAP BusinessObjects,Oracle BI","Microsoft SQL Server,Snowflake"
25,ADITYA BIRLA CAPITAL,Work from Home,7.2,3,6,0,1,September,📈Data Science and Analytics,HDFS,,,"Base R,Data.table","SAP BusinessObjects,IBM Cognos,Oracle BI","Microsoft SQL Server,Snowflake"
26,DAR GROUP,Work from office,7.8,8,3,1,1,October,📈Data Science and Analytics,"GraphX,Cassandra","OpenRefine,Data.table,Pandas,NumPy",ggplot2 in R,"Base R,Data.table,SAS,SPSS","SAP BusinessObjects,Oracle BI","Amazon Redshift,Microsoft SQL Server,Snowflake"
27,NUANCE,Work from office,6.3,0,10,0,1,September,📈Data Science and Analytics,,"NumPy,Data.table,Scikit-learn,Dplyr",,SPSS,"SAP BusinessObjects,IBM Cognos",Amazon Redshift
28,LG ELECTRONICS,Work from Home,8.4,5,6,0,2,Novermber,📈Data Science and Analytics,Cassandra,Dplyr,,"SAS,Tidyverse,Data.table,Base R,SPSS","Oracle BI,SAP BusinessObjects,IBM Cognos","Amazon Redshift,Microsoft SQL Server,Snowflake"
29,BAIN CAPABILITY NETWORKS,Work from Home,6.0,8,8,0,2,December,📈Data Science and Analytics,"MLlib,GraphX,YARN,Spark Streaming,HBase,Spark SQL,MapReduce,HDFS,Redis,Cassandra,Hive","Pandas,Tidyverse",Tableau,"SAS,Tidyverse","Oracle BI,IBM Cognos,SAP BusinessObjects",
30,CITIUSTECH,Work from office,8.6,3,6,0,1,July,📈Data Science and Analytics,"GraphX,HDFS","Data.table,Pandas,Tidyverse,Dplyr,Scikit-learn,OpenRefine","Tableau,ggplot2 in R,PowerBI","SAS,Base R,Tidyverse",,
31,MINDA INDUSTRIES,Work from Home,8.6,10,4,0,2,June,📈Data Science and Analytics,"HBase,Spark SQL,MLlib,YARN,Spark Streaming,GraphX,Redis,MapReduce","Pandas,Tidyverse,Scikit-learn,OpenRefine,Dplyr",ggplot2 in R,"Tidyverse,Base R,Data.table,SPSS","SAP BusinessObjects,IBM Cognos,Oracle BI",Snowflake
32,PAYTM,Work from office,8.7,5,4,2,2,June,📈Data Science and Analytics,"Cassandra,MongoDB,Hive","Scikit-learn,Tidyverse,Pandas,Data.table,NumPy","PowerBI,ggplot2 in R",,"Oracle BI,IBM Cognos",
33,DELOITTE,Work from office,8.7,1,10,0,0,October,📈Data Science and Analytics,"Cassandra,YARN,MapReduce,Spark SQL,Hive,MongoDB,GraphX,HBase,HDFS,Redis","Dplyr,Tidyverse,Scikit-learn,NumPy,OpenRefine,Data.table,Pandas",Tableau,,Oracle BI,Amazon Redshift
34,WINJIT TECHNOLOGIES,Work from office,8.9,0,8,0,0,December,📈Data Science and Analytics,"Spark SQL,Redis,MongoDB,MapReduce,Spark Streaming,HBase,MLlib,YARN,Hive,GraphX,Cassandra","Tidyverse,Scikit-learn,NumPy,Dplyr",Tableau,"Tidyverse,Base R",,Snowflake
35,GAINSIGHT,Work from Home,9.4,9,9,1,2,June,📈Data Science and Analytics,"GraphX,MLlib,Redis,Spark Streaming,Cassandra,MongoDB",NumPy,"PowerBI,ggplot2 in R,Tableau","SPSS,Tidyverse,Base R,Data.table,SAS",,
36,FAMITECH TECHNOLOGY,Work from Home,7.7,8,7,1,0,August,📈Data Science and Analytics,"GraphX,MLlib,Spark SQL,Spark Streaming,YARN,MongoDB,HBase,MapReduce,Cassandra,Hive","NumPy,Pandas,Scikit-learn,Dplyr,OpenRefine","PowerBI,Tableau",Base R,"SAP BusinessObjects,Oracle BI",Microsoft SQL Server
37,PIRAMAL,Work from office,8.8,4,7,2,2,December,📈Data Science and Analytics,"Cassandra,Redis,MongoDB,MapReduce,MLlib,HBase,Spark Streaming","Scikit-learn,Dplyr,Data.table,NumPy","Tableau,PowerBI,ggplot2 in R","SPSS,Tidyverse,SAS,Data.table","IBM Cognos,SAP BusinessObjects,Oracle BI","Amazon Redshift,Microsoft SQL Server,Snowflake"
38,TOSHIBA,Work from office,8.9,9,9,2,0,Novermber,📈Data Science and Analytics,"MLlib,MongoDB,Cassandra,Redis,Spark SQL,HBase,Hive,HDFS,YARN,Spark Streaming,GraphX,MapReduce","Tidyverse,NumPy,OpenRefine",,"Base R,SAS,SPSS,Data.table",IBM Cognos,Microsoft SQL Server
39,POLESTAR,Work from office,9.3,2,7,2,2,December,📈Data Science and Analytics,MapReduce,"Tidyverse,Dplyr,Pandas,Scikit-learn",,"Data.table,Tidyverse,SAS,Base R,SPSS","SAP BusinessObjects,Oracle BI",Microsoft SQL Server
40,PERSISTENT,Work from office,6.0,3,4,1,2,August,📈Data Science and Analytics,,"Scikit-learn,Dplyr,Tidyverse,OpenRefine",PowerBI,SPSS,"IBM Cognos,SAP BusinessObjects",
41,TATA CONSULTANCY ENGINEERS,Work from office,9.1,2,3,1,2,September,📈Data Science and Analytics,"GraphX,MLlib,Cassandra",,"Tableau,ggplot2 in R",SPSS,Oracle BI,Snowflake
42,TATA IQ,Work from Home,9.3,0,2,1,2,June,📈Data Science and Analytics,"Spark Streaming,Cassandra,Redis,HDFS,MongoDB,Hive,MapReduce","NumPy,Data.table,Scikit-learn,Dplyr,Pandas,OpenRefine",,SPSS,"IBM Cognos,Oracle BI,SAP BusinessObjects","Amazon Redshift,Snowflake"
43,GODREJ & BOYCE,Work from Home,6.4,7,5,2,0,October,📈Data Science and Analytics,"MapReduce,Hive,Cassandra,MongoDB",Tidyverse,Tableau,Data.table,"Oracle BI,SAP BusinessObjects,IBM Cognos",Amazon Redshift
44,MG MOTOR,Work from office,7.4,6,3,1,2,Novermber,📈Data Science and Analytics,"Cassandra,HDFS,HBase,MongoDB,Redis,Spark SQL,YARN,Hive","Dplyr,Pandas,Tidyverse,NumPy,Scikit-learn,Data.table","ggplot2 in R,PowerBI,Tableau",SPSS,SAP BusinessObjects,
45,UGAM SOLUTIONS,Work from office,6.3,0,4,2,0,June,📈Data Science and Analytics,Hive,,"ggplot2 in R,PowerBI,Tableau","Base R,Data.table","IBM Cognos,Oracle BI","Microsoft SQL Server,Amazon Redshift,Snowflake"
46,INFOGEN LABS,Work from Home,6.3,10,9,2,0,October,📈Data Science and Analytics,"MapReduce,MLlib,HBase,Cassandra,Hive","Dplyr,Pandas",ggplot2 in R,,,
47,SAARLOHA ADVANCE MATERIALS,Work from Home,6.0,0,2,1,1,June,📈Data Science and Analytics,"Redis,Spark SQL,GraphX,Hive,Cassandra,HDFS,MapReduce,MLlib,YARN","Dplyr,NumPy",,"Data.table,SPSS,SAS,Base R,Tidyverse","SAP BusinessObjects,IBM Cognos,Oracle BI",Snowflake
48,TEXAS INSTRUMENTS,Work from Home,9.3,7,0,2,1,December,📈Data Science and Analytics,"Hive,MapReduce,HDFS,HBase,Spark SQL,Redis,Cassandra,GraphX,Spark Streaming,MLlib,MongoDB",OpenRefine,,Tidyverse,"IBM Cognos,SAP BusinessObjects,Oracle BI",
49,EMERSON EXPORTS ENGINEERING CENTER,Work from office,9.4,7,8,1,2,September,📈Data Science and Analytics,"Spark SQL,YARN,Spark Streaming,MLlib,Cassandra,MongoDB,Redis,HBase,MapReduce","Tidyverse,Scikit-learn,Pandas,OpenRefine,Dplyr,NumPy","Tableau,ggplot2 in R","SPSS,Tidyverse,Data.table,Base R","SAP BusinessObjects,Oracle BI,IBM Cognos",
50,SEARCE,Work from office,7.4,8,8,2,0,December,📈Data Science and Analytics,"MLlib,Spark Streaming,GraphX,Spark SQL,HDFS,MongoDB,Redis","Tidyverse,Data.table,NumPy,Pandas",ggplot2 in R,"SPSS,Tidyverse,SAS",SAP BusinessObjects,Amazon Redshift
51,GOLDMAN SACHS,Work from Home,6.1,9,8,2,0,June,📈Data Science and Analytics,"Spark SQL,Hive,Cassandra",,,"Base R,Tidyverse,SAS,Data.table,SPSS",Oracle BI,Snowflake
52,ATOMBERG,Work from Home,6.7,5,9,0,1,October,📈Data Science and Analytics,"YARN,Redis,MapReduce,HBase","Tidyverse,Dplyr,NumPy,Scikit-learn,Pandas",,"Data.table,SAS",IBM Cognos,
53,DANA INDIA TECHNICAL CENTRE PVT.LTD,Work from office,7.4,10,1,0,0,October,📈Data Science and Analytics,,"NumPy,OpenRefine,Scikit-learn,Data.table","ggplot2 in R,Tableau","Tidyverse,Data.table,Base R,SAS","Oracle BI,SAP BusinessObjects","Microsoft SQL Server,Amazon Redshift"
54,DESHAW,Work from office,7.1,3,6,1,1,July,📈Data Science and Analytics,"Spark SQL,Spark Streaming,Cassandra,Redis,YARN,GraphX,HDFS","Pandas,OpenRefine","ggplot2 in R,Tableau,PowerBI","SAS,Tidyverse,Base R,Data.table,SPSS","IBM Cognos,Oracle BI","Snowflake,Amazon Redshift"
55,ADANI GROUP,Work from Home,9.5,7,0,2,0,June,📈Data Science and Analytics,"YARN,Hive,HDFS,MLlib,MongoDB,Redis,MapReduce,GraphX,Spark Streaming","Tidyverse,Data.table,Pandas,Scikit-learn,NumPy,OpenRefine,Dplyr","ggplot2 in R,Tableau,PowerBI","SPSS,Tidyverse","IBM Cognos,SAP BusinessObjects,Oracle BI",
56,NETERWALA,Work from Home,6.5,1,7,2,1,October,📈Data Science and Analytics,"Cassandra,MongoDB,GraphX,MLlib,Spark Streaming,HDFS,YARN",,ggplot2 in R,"SAS,Base R,Tidyverse,SPSS","IBM Cognos,SAP BusinessObjects,Oracle BI","Amazon Redshift,Microsoft SQL Server,Snowflake"
57,MERCEDES BENZ,Work from Home,7.2,7,10,0,2,June,📈Data Science and Analytics,"GraphX,Spark SQL,MLlib,Spark Streaming","Scikit-learn,Dplyr",ggplot2 in R,"SPSS,Tidyverse",,"Amazon Redshift,Snowflake"
58,ION GROUP,Work from Home,8.5,7,4,1,1,Novermber,📈Data Science and Analytics,MapReduce,"Scikit-learn,NumPy,Dplyr",ggplot2 in R,"Base R,SAS,SPSS,Tidyverse",,
59,MICROLAND LTD,Work from Home,6.2,8,10,0,0,Novermber,📈Data Science and Analytics,"HDFS,MongoDB,MapReduce,Redis","Data.table,OpenRefine,Scikit-learn,NumPy,Dplyr","PowerBI,ggplot2 in R","SAS,SPSS,Base R,Data.table,Tidyverse","IBM Cognos,Oracle BI",
60,HEXAGON,Work from office,7.7,3,6,2,0,September,📈Data Science and Analytics,"Hive,MongoDB,Redis,HDFS,Spark Streaming,YARN,GraphX,MapReduce","Tidyverse,NumPy",,"Base R,Data.table,Tidyverse,SAS","Oracle BI,SAP BusinessObjects,IBM Cognos",Snowflake
61,COGNIZANT GENC,Work from Home,7.4,9,9,1,2,September,📈Data Science and Analytics,"YARN,GraphX,Redis,HBase,Spark SQL,MongoDB,MLlib,Spark Streaming","OpenRefine,Dplyr,Data.table",,,,"Amazon Redshift,Microsoft SQL Server,Snowflake"
62,REBEL FOODS,Work from office,6.8,9,2,2,0,Novermber,📈Data Science and Analytics,Redis,"Tidyverse,OpenRefine,NumPy","Tableau,PowerBI","Data.table,SPSS,SAS","SAP BusinessObjects,Oracle BI,IBM Cognos",
63,HIGHWAY 9 NETWORKS,Work from Home,9.2,4,2,1,2,September,📈Data Science and Analytics,"YARN,Spark Streaming,Hive,Cassandra,MapReduce","NumPy,Scikit-learn,Pandas,Data.table,Dplyr,Tidyverse",Tableau,"Base R,SAS,Tidyverse,Data.table,SPSS","Oracle BI,SAP BusinessObjects,IBM Cognos","Snowflake,Amazon Redshift,Microsoft SQL Server"
64,ZENSAR,Work from Home,7.5,9,6,0,2,Novermber,📈Data Science and Analytics,"Hive,MongoDB,HDFS,HBase,YARN,Cassandra,Spark SQL","Scikit-learn,Pandas,OpenRefine,NumPy,Dplyr,Tidyverse","Tableau,ggplot2 in R",,"Oracle BI,IBM Cognos",
65,DANA INDIA,Work from office,8.2,10,6,0,2,October,📈Data Science and Analytics,"Spark Streaming,Redis,HBase,MongoDB,Cassandra,MLlib,GraphX","Data.table,NumPy,Dplyr",PowerBI,Data.table,"SAP BusinessObjects,IBM Cognos,Oracle BI","Amazon Redshift,Microsoft SQL Server,Snowflake"
66,SIEMENS LIMITED,Work from office,9.9,9,0,2,0,September,📈Data Science and Analytics,"Cassandra,Spark Streaming,Spark SQL,HBase,YARN,HDFS,MapReduce","OpenRefine,Data.table,Pandas",,"Data.table,SAS,Base R","SAP BusinessObjects,IBM Cognos,Oracle BI","Snowflake,Microsoft SQL Server,Amazon Redshift"
67,TCS XPLORE,Work from office,8.1,3,4,1,0,October,📈Data Science and Analytics,"Hive,Spark SQL,MapReduce",,"Tableau,ggplot2 in R,PowerBI","SAS,Base R,SPSS,Tidyverse,Data.table","SAP BusinessObjects,IBM Cognos",Snowflake
