,Name of company,Address of company,Phone Number,Email Address,Previous Visited COEP,Work Mode,Min CGPA,Seats for Boys,Seats for Girls,Number of Dead Backlogs permitted,Number of Active Backlogs permitted,Preffered month of visiting campus,Domain to Hire,Natural Language Processing (NLP),Computer Vision,Deep Learning,Machine Learning,Robotics
46,VISTEON,MUMBAI,9237148453,visteon@internship.com,No,Work from office,7.8,5,2,2,1,October,🧠Artificial Intelligence and Machine Learning,"Natural Language Toolkit (NLTK),Stanford NLP,AllenNLP","OpenCV,YOLO","Caffe,PyTorch,Keras,MXNet","Weka,H2O.ai","ROS 2,PyBullet"
47,AKER SOLUTION,NASHIK,9871018070,akersolution@internship.com,No,Work from office,8.3,9,6,0,2,September,🧠Artificial Intelligence and Machine Learning,"Google Cloud Natural Language API,Natural Language Toolkit (NLTK),AllenNLP,Stanford NLP,Microsoft Cognitive Services,spaCy","YOLO,OpenCV,PyTorch,TensorFlow,Mask R-CNN","ONNX,PyTorch,TensorFlow,Keras","Scikit-learn,Weka,H2O.ai,R,XGBoost",RoboFlow
48,SIEMENS ENERGY,BANGALORE,9420150424,siemensenergy@internship.com,Yes,Work from Home,8.6,7,5,1,1,August,🧠Artificial Intelligence and Machine Learning,N/A,"OpenCV,PyTorch,Mask R-CNN,Detectron2",N/A,N/A,"ROS 2,Gazebo,TensorFlow Robotics,RoboFlow"
49,CITI CORPORATION,GURGAON,9323010197,citicorporation@internship.com,No,Work from office,8.9,0,3,2,2,June,🧠Artificial Intelligence and Machine Learning,"Stanford NLP,AllenNLP,Natural Language Toolkit (NLTK),Microsoft Cognitive Services,spaCy,Google Cloud Natural Language API",N/A,"TensorFlow,MXNet,PyTorch,ONNX,Caffe","Scikit-learn,XGBoost,RapidMiner,Weka",N/A
50,CENTRIO,MUMBAI,9590444222,centrio@internship.com,No,Work from Home,9.6,0,1,2,0,June,🧠Artificial Intelligence and Machine Learning,"Google Cloud Natural Language API,Stanford NLP,spaCy",N/A,"Keras,ONNX,TensorFlow,Caffe,PyTorch","H2O.ai,RapidMiner,XGBoost","ROS 2,TensorFlow Robotics"
51,RENATA PRECISION COMPONENTS PVT.LTD,JAPAN,9651292534,renataprecisioncomponentspvt.ltd@internship.com,Yes,Work from Home,6.5,0,7,1,1,July,🧠Artificial Intelligence and Machine Learning,"Stanford NLP,Microsoft Cognitive Services,Natural Language Toolkit (NLTK)",YOLO,TensorFlow,"Scikit-learn,R,H2O.ai,RapidMiner,XGBoost,Weka",N/A
52,REBEL FOODS,MUMBAI,9364113235,rebelfoods@internship.com,Yes,Work from Home,9.6,4,9,2,2,December,🧠Artificial Intelligence and Machine Learning,"Natural Language Toolkit (NLTK),Stanford NLP,AllenNLP","Detectron2,TensorFlow,PyTorch,YOLO,Mask R-CNN,OpenCV","Keras,ONNX,MXNet,Caffe,PyTorch,TensorFlow","R,Scikit-learn","ROS 2,Gazebo,TensorFlow Robotics,PyBullet,RoboFlow"
53,COGNIZANT GENC NEXT,KOLKATA,9631243096,cognizantgencnext@internship.com,Yes,Work from office,8.7,6,9,1,0,August,🧠Artificial Intelligence and Machine Learning,"Stanford NLP,AllenNLP,Microsoft Cognitive Services","TensorFlow,Mask R-CNN,OpenCV,Detectron2,YOLO","TensorFlow,Caffe,ONNX,MXNet,PyTorch","R,XGBoost,RapidMiner","TensorFlow Robotics,PyBullet,Gazebo,RoboFlow,ROS 2"
54,PAYTM,HARYANA,9094527961,paytm@internship.com,No,Work from Home,7.6,7,1,2,0,July,🧠Artificial Intelligence and Machine Learning,"Natural Language Toolkit (NLTK),AllenNLP,Google Cloud Natural Language API,Microsoft Cognitive Services,Stanford NLP",N/A,N/A,"RapidMiner,Weka,H2O.ai,XGBoost,R","Robot Operating System (ROS),TensorFlow Robotics,RoboFlow"
55,PIMPRI CHINCHWAD COLLEGE OF ENGINEERING,GURGAON,9369675096,pimprichinchwadcollegeofengineering@internship.com,No,Work from Home,9.9,0,1,2,2,December,🧠Artificial Intelligence and Machine Learning,"Stanford NLP,Natural Language Toolkit (NLTK),spaCy,Google Cloud Natural Language API,AllenNLP",TensorFlow,"ONNX,TensorFlow,Caffe,PyTorch,MXNet","XGBoost,Scikit-learn,Weka","Robot Operating System (ROS),Gazebo,PyBullet,TensorFlow Robotics"
56,TALLY SOLUTIONS,NASHIK,9273771831,tallysolutions@internship.com,No,Work from office,8.9,7,7,1,0,December,🧠Artificial Intelligence and Machine Learning,"Google Cloud Natural Language API,Microsoft Cognitive Services,AllenNLP,spaCy,Stanford NLP",TensorFlow,"PyTorch,ONNX,Caffe,Keras","Weka,R,XGBoost,Scikit-learn,H2O.ai","ROS 2,TensorFlow Robotics"
57,CION DIGITAL,LATUR,9281293982,ciondigital@internship.com,Yes,Work from office,6.8,7,6,2,0,October,🧠Artificial Intelligence and Machine Learning,"Microsoft Cognitive Services,Natural Language Toolkit (NLTK)","YOLO,TensorFlow,Mask R-CNN,PyTorch,OpenCV,Detectron2",N/A,RapidMiner,"PyBullet,Robot Operating System (ROS),ROS 2,RoboFlow"
58,RELIANCE INDUSTRIES,PUNE,9270609184,relianceindustries@internship.com,Yes,Work from office,8.1,8,7,2,2,December,🧠Artificial Intelligence and Machine Learning,Natural Language Toolkit (NLTK),"OpenCV,Mask R-CNN,YOLO","TensorFlow,MXNet,Keras","Scikit-learn,RapidMiner,H2O.ai,Weka,R",Robot Operating System (ROS)
59,HIGHWAY 9 NETWORKS,AHMEDABAD,9940856976,highway9networks@internship.com,No,Work from Home,6.1,6,5,0,2,Novermber,🧠Artificial Intelligence and Machine Learning,"AllenNLP,Natural Language Toolkit (NLTK),Microsoft Cognitive Services,Google Cloud Natural Language API,spaCy","PyTorch,Mask R-CNN,YOLO,Detectron2,OpenCV","Keras,ONNX,PyTorch,MXNet","XGBoost,H2O.ai,RapidMiner","ROS 2,TensorFlow Robotics,RoboFlow,PyBullet,Robot Operating System (ROS)"
60,ATLAS COPCO,WALCHAND,9570661495,atlascopco@internship.com,Yes,Work from Home,8.8,10,1,1,1,December,🧠Artificial Intelligence and Machine Learning,"spaCy,AllenNLP,Natural Language Toolkit (NLTK),Microsoft Cognitive Services",OpenCV,"Keras,Caffe,PyTorch,TensorFlow","Scikit-learn,RapidMiner","ROS 2,RoboFlow"
61,GAINSIGHT,HARYANA,9725468694,gainsight@internship.com,No,Work from Home,6.7,6,5,0,2,September,🧠Artificial Intelligence and Machine Learning,AllenNLP,"YOLO,OpenCV,TensorFlow,PyTorch",N/A,"Weka,H2O.ai,Scikit-learn",N/A
62,ICICI SECURITIES,JAPAN,9836950929,icicisecurities@internship.com,Yes,Work from Home,7.1,3,0,2,2,December,🧠Artificial Intelligence and Machine Learning,"Google Cloud Natural Language API,Stanford NLP,Microsoft Cognitive Services","OpenCV,TensorFlow","MXNet,Caffe,Keras,TensorFlow,ONNX",N/A,"Gazebo,ROS 2"
63,BROSE INDIA,NASHIK,9262846989,broseindia@internship.com,No,Work from office,8.2,10,1,1,2,August,🧠Artificial Intelligence and Machine Learning,N/A,"PyTorch,OpenCV,Detectron2","Caffe,PyTorch,TensorFlow,Keras,ONNX,MXNet",N/A,"PyBullet,ROS 2,RoboFlow,TensorFlow Robotics,Gazebo"
64,MG MOTOR,JAIPUR,9572918006,mgmotor@internship.com,Yes,Work from office,8.7,0,5,2,1,July,🧠Artificial Intelligence and Machine Learning,AllenNLP,N/A,"Keras,PyTorch,Caffe","R,RapidMiner,Scikit-learn","PyBullet,Gazebo,ROS 2,TensorFlow Robotics"
65,TCS R&I,GUJARAT,9004790315,tcsr&i@internship.com,Yes,Work from office,8.2,0,1,1,0,July,🧠Artificial Intelligence and Machine Learning,"Google Cloud Natural Language API,Microsoft Cognitive Services,AllenNLP","YOLO,Mask R-CNN","TensorFlow,Caffe,MXNet,PyTorch,ONNX","XGBoost,RapidMiner","PyBullet,ROS 2"
66,BAJAJ FINSERV,CHENNAI,9458848040,bajajfinserv@internship.com,Yes,Work from office,7.2,8,7,0,0,December,🧠Artificial Intelligence and Machine Learning,Google Cloud Natural Language API,"YOLO,PyTorch,TensorFlow,OpenCV,Detectron2",Caffe,H2O.ai,N/A
67,FINIQ,WALCHAND,9260825663,finiq@internship.com,No,Work from Home,7.3,7,3,1,0,July,🧠Artificial Intelligence and Machine Learning,"Natural Language Toolkit (NLTK),spaCy,Google Cloud Natural Language API,Stanford NLP,Microsoft Cognitive Services",OpenCV,"Keras,MXNet,ONNX,TensorFlow,PyTorch","RapidMiner,XGBoost","Gazebo,RoboFlow,Robot Operating System (ROS)"
68,CREDIT SUISSE,NASHIK,9873472999,creditsuisse@internship.com,No,Work from office,6.5,2,7,2,1,July,🧠Artificial Intelligence and Machine Learning,"AllenNLP,Microsoft Cognitive Services","Mask R-CNN,Detectron2,YOLO","PyTorch,ONNX","RapidMiner,Weka,Scikit-learn,H2O.ai","RoboFlow,PyBullet,Robot Operating System (ROS)"
69,INFOGEN LABS,GUJARAT,9569517579,infogenlabs@internship.com,Yes,Work from Home,9.6,9,5,2,1,June,🧠Artificial Intelligence and Machine Learning,N/A,N/A,"Caffe,PyTorch,ONNX","Scikit-learn,R,H2O.ai","PyBullet,RoboFlow,Gazebo,TensorFlow Robotics,Robot Operating System (ROS)"
70,SIEMENS LIMITED,HYDERABAD,9203040714,siemenslimited@internship.com,Yes,Work from office,7.5,5,2,0,1,June,🧠Artificial Intelligence and Machine Learning,"spaCy,AllenNLP","OpenCV,Detectron2","ONNX,Caffe","RapidMiner,H2O.ai,XGBoost,Scikit-learn","TensorFlow Robotics,RoboFlow,PyBullet,Gazebo,ROS 2,Robot Operating System (ROS)"
