,Unnamed: 0,Name of company,Address of company,Phone Number,Email Address,Previous Visited COEP,Work Mode,Min CGPA,Seats for Boys,Seats for Girls,Number of Dead Backlogs permitted,Number of Active Backlogs permitted,Preffered month of visiting campus,Domain to Hire,Network Security,Application Security,Endpoint Security,Cloud Security,Data Security,Web Application Security
16,16,BETSOL,BANGALORE,9762947768,betsol@internship.com,Yes,Work from Home,7.5,2,8,0,1,Novermber,🕵🏻Cyber Security,"Cisco Security Solutions,Snort","SAML,Blowfish,Data Encryption Standard (DES),Advanced Encryption Standard (AES),OpenID Connect,SHA-2,RSA,SHA-3,LDAP,OAuth,SHA-1,MD5","Symantec Endpoint Protection,McAfee Endpoint Security",,"Advanced Encryption Standard (AES),Data Encryption Standard (DES),SHA-3,SHA-1,MD5,RSA,SHA-2","Metasploit Framework,WebInspect,Nessus,Qualys,Acunetix,AppScan,McAfee Secure,Spring Framework"
17,17,ALIGNED AUTOMATION,HARYANA,9040295118,alignedautomation@internship.com,Yes,Work from office,7.7,7,0,0,0,Novermber,🕵🏻Cyber Security,,,McAfee Endpoint Security,"Google Cloud Platform (GCP) Security Tools,Active Directory","Blowfish,MD5,Advanced Encryption Standard (AES),SHA-3,SHA-1,RSA,SHA-2","AppScan,Acunetix,Qualys,WebInspect,Spring Framework,Metasploit Framework,McAfee Secure,OWASP ZAP,Nessus"
18,18,TALLY SOLUTIONS,PUNE,9451612220,tallysolutions@internship.com,No,Work from office,7.3,10,10,2,0,December,🕵🏻Cyber Security,,,"McAfee Endpoint Security,Symantec Endpoint Protection",,"Blowfish,Advanced Encryption Standard (AES),Data Encryption Standard (DES),SHA-2,SHA-3","Metasploit Framework,Burp Suite,AppScan,Nessus"
19,19,TALLY SOLUTIONS,NOIDA,9888004987,tallysolutions@internship.com,Yes,Work from Home,7.4,0,4,1,0,August,🕵🏻Cyber Security,,"Advanced Encryption Standard (AES),SHA-3,OpenID Connect,Blowfish,SHA-2,OAuth,LDAP,Data Encryption Standard (DES)",McAfee Endpoint Security,"Active Directory,Microsoft Azure Security Tools,Amazon Web Services (AWS) Security Tools,Google Cloud Platform (GCP) Security Tools","SHA-3,RSA,SHA-1,Data Encryption Standard (DES)","AppScan,Qualys,Nessus,OWASP ZAP,Burp Suite"
20,20,SIEMENS LIMITED COBRA,GURGAON,9181971126,siemenslimitedcobra@internship.com,Yes,Work from Home,8.9,4,4,0,2,December,🕵🏻Cyber Security,"Juniper Networks Security Solutions,Snort,Cisco Security Solutions","RSA,OAuth,Data Encryption Standard (DES)","Symantec Endpoint Protection,McAfee Endpoint Security,Trend Micro Endpoint Security","Active Directory,Google Cloud Platform (GCP) Security Tools,Microsoft Azure Security Tools,Amazon Web Services (AWS) Security Tools","SHA-2,Blowfish,Advanced Encryption Standard (AES),RSA,Data Encryption Standard (DES),MD5,SHA-3","Metasploit Framework,AppScan,Nessus"
21,21,MERCEDES BENZ,HARYANA,9379156122,mercedesbenz@internship.com,No,Work from office,7.0,4,7,0,0,July,🕵🏻Cyber Security,"Juniper Networks Security Solutions,Cisco Security Solutions,Snort","LDAP,Advanced Encryption Standard (AES),SHA-3,Data Encryption Standard (DES),SAML,SHA-2,RSA,OAuth,SHA-1","Trend Micro Endpoint Security,Symantec Endpoint Protection,McAfee Endpoint Security",Amazon Web Services (AWS) Security Tools,"SHA-1,MD5","Nessus,AppScan"
22,22,FAMITECH TECHNOLOGY,GUJARAT,9814500894,famitechtechnology@internship.com,Yes,Work from Home,7.0,9,8,2,1,December,🕵🏻Cyber Security,,"Blowfish,MD5,OpenID Connect,LDAP,SHA-2,Data Encryption Standard (DES),RSA,OAuth,SHA-3,SAML",,Amazon Web Services (AWS) Security Tools,Advanced Encryption Standard (AES),"Nessus,Acunetix,Spring Framework,WebInspect,OWASP ZAP,Qualys,McAfee Secure,AppScan,Burp Suite"
23,23,WINJIT TECHNOLOGIES,MUMBAI,9099248552,winjittechnologies@internship.com,No,Work from Home,9.0,1,8,2,2,June,🕵🏻Cyber Security,Cisco Security Solutions,"SHA-1,RSA,OpenID Connect,SHA-2,LDAP,SAML,Blowfish,SHA-3,MD5",McAfee Endpoint Security,,"MD5,SHA-2","Spring Framework,Nessus,WebInspect,Metasploit Framework,AppScan,Acunetix,Burp Suite,McAfee Secure,Qualys,OWASP ZAP"
24,24,ALIGNED AUTOMATION,AURANGABAD,9661326797,alignedautomation@internship.com,Yes,Work from office,8.9,3,4,1,0,August,🕵🏻Cyber Security,"Cisco Security Solutions,Snort,Juniper Networks Security Solutions","SHA-3,RSA",,"Active Directory,Microsoft Azure Security Tools,Google Cloud Platform (GCP) Security Tools",RSA,"OWASP ZAP,Burp Suite,McAfee Secure,Qualys,WebInspect,Acunetix,Nessus,Spring Framework,AppScan"
25,25,FEV INDIA,WALCHAND,9315997873,fevindia@internship.com,No,Work from Home,8.9,7,6,1,0,October,🕵🏻Cyber Security,,"SHA-3,OAuth,RSA,SHA-1,Data Encryption Standard (DES),Advanced Encryption Standard (AES),LDAP,OpenID Connect",,"Active Directory,Google Cloud Platform (GCP) Security Tools,Amazon Web Services (AWS) Security Tools,Microsoft Azure Security Tools","Blowfish,MD5,RSA,Data Encryption Standard (DES),SHA-3","AppScan,Burp Suite,Qualys,McAfee Secure"
26,26,HYUNDAI MOTORS,LATUR,9617335641,hyundaimotors@internship.com,No,Work from Home,7.6,4,3,1,0,July,🕵🏻Cyber Security,"Snort,Cisco Security Solutions",,"McAfee Endpoint Security,Symantec Endpoint Protection","Microsoft Azure Security Tools,Active Directory,Google Cloud Platform (GCP) Security Tools,Amazon Web Services (AWS) Security Tools","Blowfish,RSA,MD5,SHA-1,Data Encryption Standard (DES),SHA-2,SHA-3","Nessus,McAfee Secure,OWASP ZAP,Qualys,AppScan,Acunetix,Spring Framework,WebInspect,Metasploit Framework"
27,27,RELIANCE JIO,LATUR,9056291477,reliancejio@internship.com,Yes,Work from office,6.2,0,0,0,2,September,🕵🏻Cyber Security,,"Data Encryption Standard (DES),SAML,OpenID Connect,SHA-3,OAuth,LDAP,SHA-1,MD5,Blowfish,RSA,Advanced Encryption Standard (AES)","Trend Micro Endpoint Security,Symantec Endpoint Protection",,RSA,"AppScan,Qualys,McAfee Secure,Metasploit Framework,Acunetix,WebInspect"
28,28,NEOSYM,PUNE,9559187635,neosym@internship.com,Yes,Work from Home,10.0,5,10,0,2,December,🕵🏻Cyber Security,"Juniper Networks Security Solutions,Cisco Security Solutions,Snort","SHA-2,RSA,SHA-1",,Amazon Web Services (AWS) Security Tools,RSA,"OWASP ZAP,Qualys,Burp Suite,Acunetix,Nessus,Spring Framework,WebInspect,McAfee Secure"
29,29,TORRENT GAS,JAPAN,9944561985,torrentgas@internship.com,Yes,Work from Home,7.4,4,2,0,1,Novermber,🕵🏻Cyber Security,Juniper Networks Security Solutions,"MD5,LDAP,OpenID Connect,SHA-2,Data Encryption Standard (DES)",Symantec Endpoint Protection,"Google Cloud Platform (GCP) Security Tools,Microsoft Azure Security Tools","Blowfish,SHA-2,MD5","Metasploit Framework,Spring Framework,Nessus,AppScan,WebInspect"
30,30,ASSYSTEM STUP,NASHIK,9211997940,assystemstup@internship.com,Yes,Work from office,8.4,8,10,2,2,June,🕵🏻Cyber Security,"Juniper Networks Security Solutions,Snort","SHA-1,LDAP,SHA-2,SHA-3,Data Encryption Standard (DES),MD5,SAML,Advanced Encryption Standard (AES),Blowfish,OAuth,RSA",Symantec Endpoint Protection,"Amazon Web Services (AWS) Security Tools,Google Cloud Platform (GCP) Security Tools,Microsoft Azure Security Tools,Active Directory","SHA-3,SHA-1,SHA-2,RSA","Metasploit Framework,Qualys,Spring Framework,Acunetix,Burp Suite,WebInspect,AppScan,Nessus,OWASP ZAP"
31,31,ATOMBERG,NOIDA,9950392146,atomberg@internship.com,Yes,Work from office,6.6,10,5,0,2,August,🕵🏻Cyber Security,,SHA-2,"Trend Micro Endpoint Security,Symantec Endpoint Protection","Google Cloud Platform (GCP) Security Tools,Microsoft Azure Security Tools","Blowfish,RSA,MD5,Advanced Encryption Standard (AES),SHA-3,Data Encryption Standard (DES)","Acunetix,WebInspect,OWASP ZAP,Spring Framework,AppScan,Nessus,Metasploit Framework"
32,32,L&T LIMITED,KOLKATA,9900714130,l&tlimited@internship.com,No,Work from Home,6.3,6,6,2,0,September,🕵🏻Cyber Security,"Cisco Security Solutions,Snort","MD5,SHA-3,SHA-2,RSA,OAuth,Blowfish,OpenID Connect,SAML,LDAP","McAfee Endpoint Security,Symantec Endpoint Protection","Active Directory,Amazon Web Services (AWS) Security Tools,Google Cloud Platform (GCP) Security Tools","Blowfish,MD5,SHA-2,SHA-1,Data Encryption Standard (DES),SHA-3,RSA","Acunetix,Qualys,Burp Suite,OWASP ZAP"
33,33,SOC GEN,MUMBAI,9979025847,socgen@internship.com,Yes,Work from Home,6.1,4,10,0,1,June,🕵🏻Cyber Security,"Juniper Networks Security Solutions,Snort","OpenID Connect,SHA-1","McAfee Endpoint Security,Trend Micro Endpoint Security,Symantec Endpoint Protection","Active Directory,Google Cloud Platform (GCP) Security Tools,Microsoft Azure Security Tools",SHA-3,WebInspect
34,34,SIEMENS ENERGY,JAIPUR,9820951620,siemensenergy@internship.com,Yes,Work from Home,7.9,10,3,2,2,August,🕵🏻Cyber Security,"Juniper Networks Security Solutions,Cisco Security Solutions","SHA-2,OAuth","Symantec Endpoint Protection,Trend Micro Endpoint Security","Active Directory,Google Cloud Platform (GCP) Security Tools,Amazon Web Services (AWS) Security Tools","Data Encryption Standard (DES),MD5,Advanced Encryption Standard (AES),Blowfish,SHA-2,RSA,SHA-3","Nessus,Spring Framework,Acunetix"
35,35,JSW GROUP,JAIPUR,9561643811,jswgroup@internship.com,No,Work from Home,9.0,5,9,0,1,June,🕵🏻Cyber Security,"Juniper Networks Security Solutions,Snort","Data Encryption Standard (DES),SAML,SHA-1,RSA,OpenID Connect",Trend Micro Endpoint Security,"Google Cloud Platform (GCP) Security Tools,Active Directory,Amazon Web Services (AWS) Security Tools,Microsoft Azure Security Tools","RSA,SHA-1,SHA-3,Blowfish","Burp Suite,Metasploit Framework,OWASP ZAP,WebInspect,AppScan,Acunetix,Qualys,Nessus,McAfee Secure,Spring Framework"
36,36,PIRAMAL,MUMBAI,9899732112,piramal@internship.com,No,Work from Home,8.9,3,10,1,2,July,🕵🏻Cyber Security,Cisco Security Solutions,"SHA-1,OpenID Connect,Advanced Encryption Standard (AES),MD5,OAuth,SHA-3,LDAP,SAML,Data Encryption Standard (DES),RSA",,,"Data Encryption Standard (DES),SHA-1,MD5,Advanced Encryption Standard (AES),Blowfish,SHA-3","OWASP ZAP,Qualys,Burp Suite"
37,37,ADM,WALCHAND,9217691474,adm@internship.com,No,Work from Home,6.4,8,5,0,2,Novermber,🕵🏻Cyber Security,"Snort,Juniper Networks Security Solutions,Cisco Security Solutions","RSA,SHA-1,OpenID Connect,LDAP,MD5,SHA-2,SHA-3",,,SHA-1,"Qualys,Burp Suite,McAfee Secure"
38,38,AMURA MARKETING TECHNOLOGIES,NAVI MUMBAI,9086327202,amuramarketingtechnologies@internship.com,Yes,Work from Home,9.5,7,6,2,2,December,🕵🏻Cyber Security,"Snort,Cisco Security Solutions,Juniper Networks Security Solutions","Blowfish,LDAP,MD5,Data Encryption Standard (DES),OAuth",,,"SHA-2,SHA-1,MD5","McAfee Secure,Burp Suite,AppScan,Metasploit Framework,Nessus,WebInspect,Spring Framework,OWASP ZAP"
39,39,CATERPILLAR,HYDERABAD,9466581489,caterpillar@internship.com,Yes,Work from office,8.5,10,10,0,2,December,🕵🏻Cyber Security,"Juniper Networks Security Solutions,Cisco Security Solutions",OAuth,McAfee Endpoint Security,,"Data Encryption Standard (DES),SHA-1,RSA,Advanced Encryption Standard (AES),MD5,SHA-2,Blowfish","Burp Suite,Spring Framework,OWASP ZAP,Metasploit Framework,WebInspect,AppScan"
40,40,ION GROUP,JAPAN,9269161746,iongroup@internship.com,No,Work from Home,6.2,6,1,1,2,Novermber,🕵🏻Cyber Security,,"OpenID Connect,OAuth,LDAP,SHA-1,Advanced Encryption Standard (AES),Data Encryption Standard (DES),Blowfish,SHA-3,RSA,SAML","Symantec Endpoint Protection,Trend Micro Endpoint Security",Active Directory,"SHA-3,Advanced Encryption Standard (AES),SHA-2,RSA,MD5,Data Encryption Standard (DES),Blowfish","Acunetix,AppScan,OWASP ZAP,Nessus,Qualys,Spring Framework,Metasploit Framework,WebInspect,McAfee Secure,Burp Suite"
41,41,BAIN CAPABILITY NETWORKS,AURANGABAD,9381296218,baincapabilitynetworks@internship.com,Yes,Work from Home,8.4,8,8,2,2,Novermber,🕵🏻Cyber Security,"Cisco Security Solutions,Juniper Networks Security Solutions","SHA-3,OAuth,OpenID Connect,Blowfish,SAML,MD5,Data Encryption Standard (DES),LDAP,Advanced Encryption Standard (AES),SHA-1","McAfee Endpoint Security,Trend Micro Endpoint Security,Symantec Endpoint Protection",,"Advanced Encryption Standard (AES),RSA,SHA-1",
42,42,WHIRLPOOL INDIA,AHMEDABAD,9363920437,whirlpoolindia@internship.com,Yes,Work from Home,8.2,5,8,1,1,July,🕵🏻Cyber Security,,"SHA-3,OAuth,OpenID Connect,LDAP,Advanced Encryption Standard (AES),RSA,SHA-2,SAML,MD5,Data Encryption Standard (DES),Blowfish,SHA-1",,"Active Directory,Google Cloud Platform (GCP) Security Tools,Amazon Web Services (AWS) Security Tools","MD5,SHA-1,SHA-3,RSA","Burp Suite,AppScan,Qualys,McAfee Secure,WebInspect"
43,43,REBEL FOODS,CHENNAI,9422941588,rebelfoods@internship.com,No,Work from Home,9.7,1,7,0,2,December,🕵🏻Cyber Security,,"MD5,Advanced Encryption Standard (AES),SHA-2,Data Encryption Standard (DES),Blowfish,SHA-3,OAuth,SAML,OpenID Connect,LDAP",McAfee Endpoint Security,Amazon Web Services (AWS) Security Tools,"SHA-3,SHA-2,Advanced Encryption Standard (AES),Blowfish,MD5,RSA,SHA-1","AppScan,Spring Framework,Nessus,WebInspect,OWASP ZAP,Metasploit Framework"
44,44,SHAH TECHNICAL CONSULTANTS PVT.LTD,NASHIK,9536290664,shahtechnicalconsultantspvt.ltd@internship.com,Yes,Work from Home,6.6,6,9,2,1,July,🕵🏻Cyber Security,Juniper Networks Security Solutions,"SHA-3,RSA",,"Microsoft Azure Security Tools,Amazon Web Services (AWS) Security Tools","SHA-3,SHA-1,RSA,Advanced Encryption Standard (AES),Data Encryption Standard (DES),MD5","OWASP ZAP,Acunetix,Spring Framework,Metasploit Framework,AppScan,Burp Suite,Nessus,McAfee Secure,Qualys"
45,45,ION GROUP,HARYANA,9912938216,iongroup@internship.com,No,Work from Home,9.0,8,9,1,0,Novermber,🕵🏻Cyber Security,"Cisco Security Solutions,Juniper Networks Security Solutions","Advanced Encryption Standard (AES),RSA,SHA-1,Data Encryption Standard (DES),LDAP,MD5,SHA-3","Symantec Endpoint Protection,Trend Micro Endpoint Security",,"Blowfish,Data Encryption Standard (DES),RSA,SHA-1,SHA-3,Advanced Encryption Standard (AES),MD5","Nessus,WebInspect,OWASP ZAP,Metasploit Framework,AppScan,Qualys,McAfee Secure"
46,46,ACCENTURE,NOIDA,9861836554,accenture@internship.com,Yes,Work from Home,8.0,1,10,1,1,June,🕵🏻Cyber Security,,"LDAP,RSA,OAuth,SHA-2,SAML",Trend Micro Endpoint Security,,"Blowfish,SHA-1","Metasploit Framework,Burp Suite,Nessus,Qualys,Spring Framework,AppScan,OWASP ZAP"
47,47,SKF ENGINEERING AND LUBRICATION INDIA,GURGAON,9829405620,skfengineeringandlubricationindia@internship.com,Yes,Work from office,7.4,1,8,1,0,October,🕵🏻Cyber Security,"Cisco Security Solutions,Juniper Networks Security Solutions","SAML,RSA,LDAP,MD5,OpenID Connect,Blowfish",McAfee Endpoint Security,"Active Directory,Amazon Web Services (AWS) Security Tools,Microsoft Azure Security Tools","Data Encryption Standard (DES),RSA,SHA-1,SHA-2,Blowfish","Burp Suite,WebInspect,Qualys,McAfee Secure,Spring Framework"
48,48,MASTERCARD,NOIDA,9268622098,mastercard@internship.com,No,Work from office,9.4,2,6,2,2,October,🕵🏻Cyber Security,"Juniper Networks Security Solutions,Cisco Security Solutions,Snort",Advanced Encryption Standard (AES),"Symantec Endpoint Protection,Trend Micro Endpoint Security","Amazon Web Services (AWS) Security Tools,Google Cloud Platform (GCP) Security Tools,Active Directory","Advanced Encryption Standard (AES),MD5,SHA-3","AppScan,WebInspect,McAfee Secure,Acunetix,Metasploit Framework,OWASP ZAP"
